time(sec),fold_change
0,1
17.8951456310679,1.03409708737864
27.7747572815534,1.70749514563107
29.8252427184467,2.27650485436893
54.0582524271846,3.00116504854369
57.2271844660195,3.88054368932039
145.957281553398,4.50314563106796
230.027184466019,3.83254368932039
335.906796116505,3.2141359223301
506.842718446603,2.64885436893204
872.388349514562,2.08776699029126
1303.36310679611,1.68326213592233
1800.13980582524,1.53879611650485
2253.66990291262,1.39339805825243
2837.12621359223,1.30252427184466
3312.65242718447,1.26104854368932
3701.6854368932,1.21770873786408
